601	0	['No']
602	0	['A. R. Rahman']
603	0	['No']
604	0	['No']
605	1	['financial crisis of 2007–08']
606	1	['Dawn of the Planet of the Apes']
607	1	['Red Right Hand']
608	0	['No']
609	0	['No']
610	1	['United Kingdom']
611	1	['Bogotá']
612	1	['Quentin Tarantino']
613	0	['No']
614	0	['No']
615	0	['No']
616	0	['0']
617	0	['No']
618	0	['No']
619	0	['2010']
620	0	['No']
621	1	['Hans Zimmer']
622	1	['Rutger Hauer']
623	0	['Western classical music']
624	0	['No']
625	0	['1937-11-30T00:00:00Z']
626	0	['No']
627	0	['No']
628	0	['No']
629	0	['No']
630	0	['1964-01-07T00:00:00Z']
631	0	['No']
632	0	['No']
633	0	['Ginny Weasley', 'Harry Potter', 'Lord Voldemort', 'Minerva McGonagall', 'Hermione Granger', 'Ron Weasley', 'James Potter', 'Lily Potter', 'Albus Dumbledore', 'Severus Snape']
634	0	['No']
635	0	['No']
636	0	['No']
637	0	['1977-05-25T00:00:00Z', '1978-02-09T00:00:00Z', '1977-10-19T00:00:00Z']
638	0	['No']
639	0	['No']
640	0	['George Lazenby', 'Sean Connery', 'Daniel Craig', 'Timothy Dalton', 'Pierce Brosnan', 'Barry Nelson', 'Roger Moore', 'David Niven']
641	0	['No']
642	0	['1939-03-29T00:00:00Z']
643	0	['Pulp Fiction']
644	0	"['National Board of Review Award for Best Director', 'National Board of Review Award for Best Director', 'Independent Spirit Award for Best Director', 'Independent Spirit Award for Best Director', 'National Film Registry', 'National Society of Film Critics Award for Best Screenplay', 'National Society of Film Critics Award for Best Screenplay', 'National Board of Review: Top Ten Films', 'Los Angeles Film Critics Association Award for Best Actor', 'Los Angeles Film Critics Association Award for Best Actor', 'National Society of Film Critics Award for Best Director', 'National Society of Film Critics Award for Best Director', 'MTV Movie Award for Best Dance Sequence', 'MTV Movie Award for Best Dance Sequence', 'Independent Spirit Award for Best Male Lead', 'Independent Spirit Award for Best Male Lead', 'Golden Globe Award for Best Screenplay', 'Golden Globe Award for Best Screenplay', 'Independent Spirit Award for Best Screenplay', 'Independent Spirit Award for Best Screenplay', 'National Society of Film Critics Award for Best Film', 'Academy Award for Best Writing, Original Screenplay', 'Academy Award for Best Writing, Original Screenplay', 'Academy Award for Best Writing, Original Screenplay', 'Academy Award for Best Writing, Original Screenplay', 'BAFTA Award for Best Actor in a Supporting Role', 'BAFTA Award for Best Actor in a Supporting Role', ""Palme d'Or"", ""Palme d'Or"", 'Los Angeles Film Critics Association Award for Best Director', 'Los Angeles Film Critics Association Award for Best Director', 'MTV Movie Award for Best Movie', 'London Film Critics Circle Award for Actor of the Year', 'London Film Critics Circle Award for Actor of the Year', 'David di Donatello for Best Foreign Actor', 'David di Donatello for Best Foreign Actor', 'BAFTA Award for Best Original Screenplay', 'BAFTA Award for Best Original Screenplay', 'Los Angeles Film Critics Association Award for Best Film', 'National Board of Review Award for Best Film', 'National Board of Review Award for Best Film', 'New York Film Critics Circle Award for Best Director', 'New York Film Critics Circle Award for Best Director']"
645	1	['Leonardo', 'Wilhelm']
646	1	['Irmelin DiCaprio']
647	0	['1']
648	0	['No']
649	1	['Marek Brodzki', 'Steven Spielberg']
650	1	['burn']
651	1	['Westron']
652	0	['No']
653	0	['1968-09-25T00:00:00Z']
654	0	['No']
655	1	['John Christopher Depp']
656	0	['2']
657	0	['No']
658	1	['James Cameron']
659	1	['Vancouver', 'Polsa Rosa Movie Ranch', 'San Francisco', 'Long Beach', 'Mexico', 'Nova Scotia']
660	0	"['fantasy film', ""children's film""]"
661	0	['No']
662	1	['Roberto Benigni']
663	0	['No']
664	1	['Summit']
665	0	['16']
666	0	['No']
667	0	['Tina Sloan', 'Benjamin Millepied', 'Ksenia Solo', 'Janet Montgomery', 'Toby Hemingway', 'Sebastian Stan', 'Natalie Portman', 'Vincent Cassel', 'Barbara Hershey', 'Mark Margolis', 'Kristina Anapau', 'Mila Kunis', 'Winona Ryder']
668	1	['drama', 'art film']
669	1	['organized crime']
670	0	['2021-04-08T00:00:00Z', '2021-04-08T00:00:00Z', '2021-05-20T00:00:00Z', '2020-09-11T00:00:00Z', '2020-09-11T00:00:00Z', '2020-09-11T00:00:00Z', '2020-12-04T00:00:00Z', '2020-10-13T00:00:00Z']
671	1	['Rita Hayworth and Shawshank Redemption']
672	0	['1998-06-01T00:00:00Z', '1998-11-12T00:00:00Z']
673	1	['Christopher Nolan']
674	0	['Academy Award for Best Writing, Adapted Screenplay', 'Academy Award for Best Writing, Adapted Screenplay', 'Academy Award for Best Writing, Adapted Screenplay', 'National Board of Review: Top Ten Films', 'Academy Award for Best Actor', 'Academy Award for Best Actor', 'National Film Registry', 'Academy Award for Best Picture', 'Academy Award for Best Picture', 'Academy Award for Best Picture']
675	1	['20th Century Fox Television', 'Imagine Entertainment']
676	1	['Scranton']
677	1	['comedy-drama', 'legal drama']
678	1	['Middlesex School', 'Denison University']
679	1	['London Borough of Hackney']
680	1	['Sicilian American']
681	0	['thriller film', 'splatter film', 'slasher film']
682	0	['No']
683	0	['romance novel', 'narration', 'Q19952572']
684	0	['No']
685	0	['No']
686	0	['Esther Scott', 'Sean Wing', 'Ana Ortiz', 'Kevin Kilner', 'Willie Garson', 'Matthew Alan', 'Matthew Kane', 'Jessica Rothe', 'Jordi Caballero', 'Rose Abdoo']
687	0	['No']
688	0	['California']
689	0	['No']
690	0	['No']
691	1	['drama', 'biographical film', 'coming-of-age story', 'romance film']
692	0	['No']
693	0	['science fiction action film', 'thriller film', 'mystery film', 'science fiction film', 'adventure film', 'drama', 'heist film']
694	0	['No']
695	1	['Quentin Tarantino']
696	0	['No']
697	0	['No']
698	0	['No']
699	0	['Cameron Diaz', 'Aron Warner', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon', 'Eddie Murphy', 'Eddie Murphy', 'Jim Cummings', 'John Lithgow', 'Vincent Cassel', 'Cody Cameron', 'Mike Myers', 'Mike Myers']
